,Latitude ,Longitude,City,Alcohol Places,Places of Worship,Places to shop,Food Places,Public Transport Places,Doctors,Public Places,Police Station,University ,Schools ,Banks,Night Clubs
106,40.83168604,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
107,40.83554683,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
108,40.83940762,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
109,40.84326841,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
110,40.8471292,-73.77704352,New York City,0,0,1,1,0,0,0,0,0,0,0,0
111,40.85098999,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
112,40.85485078,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
113,40.85871157,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
114,40.86257236,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
115,40.86643315,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
116,40.87029394,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
117,40.87415473,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
118,40.87801552,-73.77704352,New York City,0,0,0,0,0,0,0,0,0,0,0,0
119,40.83554683,-73.7711933,New York City,0,0,0,0,0,0,0,0,0,0,0,0
120,40.83940762,-73.7711933,New York City,0,0,0,0,0,0,0,0,0,0,0,0
121,40.84326841,-73.7711933,New York City,0,0,0,0,0,0,0,0,0,0,0,0
122,40.8471292,-73.7711933,New York City,0,0,0,0,0,0,0,0,0,0,0,0
123,40.85098999,-73.7711933,New York City,0,0,0,0,0,0,0,0,0,0,0,0
124,40.85485078,-73.7711933,New York City,0,0,0,0,0,0,0,0,0,0,0,0
125,40.85871157,-73.7711933,New York City,0,0,0,0,0,0,0,0,0,0,0,0
126,40.86257236,-73.7711933,New York City,0,0,0,0,0,0,0,0,0,0,0,0
127,40.86643315,-73.7711933,New York City,0,0,0,0,0,0,0,0,0,0,0,0
128,40.87029394,-73.7711933,New York City,0,0,0,0,0,0,0,0,0,0,0,0
129,40.87415473,-73.7711933,New York City,0,0,0,0,0,0,0,0,0,0,0,0
130,40.83940762,-73.76534308,New York City,0,0,0,0,0,0,0,0,0,0,0,0
131,40.84326841,-73.76534308,New York City,0,0,0,0,0,0,0,0,0,0,0,0
132,40.8471292,-73.76534308,New York City,0,0,0,0,0,0,0,0,0,0,0,0
133,40.85098999,-73.76534308,New York City,0,0,0,0,0,0,0,0,0,0,0,0
134,40.85485078,-73.76534308,New York City,0,0,0,0,0,0,0,0,0,0,0,0
135,40.85871157,-73.76534308,New York City,0,0,0,0,0,0,0,0,0,0,0,0
136,40.86257236,-73.76534308,New York City,0,0,0,0,0,0,0,0,0,0,0,0
137,40.86643315,-73.76534308,New York City,0,0,0,0,0,0,0,0,0,0,0,0
138,40.87029394,-73.76534308,New York City,0,0,0,0,0,0,0,0,0,0,0,0
139,40.87415473,-73.76534308,New York City,0,0,0,0,0,0,0,0,0,0,0,0
140,40.8471292,-73.75949286,New York City,0,0,0,0,0,0,0,0,0,0,0,0
141,40.85098999,-73.75949286,New York City,0,0,0,0,0,0,0,0,0,0,0,0
142,40.85485078,-73.75949286,New York City,0,0,0,0,0,0,0,0,0,0,0,0
143,40.85871157,-73.75949286,New York City,0,0,0,0,0,0,0,0,0,0,0,0
144,40.86257236,-73.75949286,New York City,0,0,0,0,0,0,0,0,0,0,0,0
145,40.86643315,-73.75949286,New York City,0,0,0,0,0,0,0,0,0,0,0,0
146,40.87029394,-73.75949286,New York City,0,0,0,0,0,0,0,0,0,0,0,0
147,40.87415473,-73.75949286,New York City,0,0,0,0,0,0,0,0,0,0,0,0
148,40.85871157,-73.75364264,New York City,0,0,0,0,0,0,0,0,0,0,0,0
149,40.86257236,-73.75364264,New York City,0,0,0,0,0,0,0,0,0,0,0,0
150,40.86643315,-73.75364264,New York City,0,0,0,0,0,0,0,0,0,0,0,0
151,40.87029394,-73.75364264,New York City,0,0,0,0,0,0,0,0,0,0,0,0
