,Latitude ,Longitude,City,Alcohol Places,Places of Worship,Places to shop,Food Places,Public Transport Places,Doctors,Public Places,Police Station,University ,Schools ,Banks,Night Clubs
88,40.75833103,-74.0052021,New York City,2,0,14,8,25,1,18,0,0,0,3,1
89,40.76219182,-74.0052021,New York City,5,0,11,10,17,4,8,0,0,1,2,2
90,40.76605261,-74.0052021,New York City,2,0,0,1,0,0,3,0,1,0,0,0
91,40.67339365,-73.99935188,New York City,10,4,66,28,34,21,31,0,0,4,12,0
92,40.67725444,-73.99935188,New York City,13,4,73,39,33,40,34,0,0,18,24,1
93,40.68111523,-73.99935188,New York City,22,8,76,47,25,50,24,1,1,20,20,1
94,40.68497602,-73.99935188,New York City,22,11,66,40,23,39,26,2,0,20,11,0
95,40.68883681,-73.99935188,New York City,21,7,63,36,28,46,25,1,0,9,7,0
96,40.6926976,-73.99935188,New York City,18,8,59,42,22,64,27,0,0,7,6,0
97,40.69655839,-73.99935188,New York City,5,7,43,30,0,39,25,0,0,3,5,0
98,40.70041918,-73.99935188,New York City,5,3,8,6,1,23,15,0,0,1,3,2
99,40.70427997,-73.99935188,New York City,19,0,48,35,5,5,23,1,0,2,4,3
100,40.70814076,-73.99935188,New York City,16,5,74,43,40,29,56,4,0,17,17,0
101,40.71200155,-73.99935188,New York City,19,20,147,74,42,50,91,9,1,20,37,1
102,40.71586234,-73.99935188,New York City,29,23,213,90,44,79,140,10,1,20,40,8
103,40.71972313,-73.99935188,New York City,34,20,232,91,44,83,121,2,2,20,40,16
104,40.72358392,-73.99935188,New York City,32,16,234,85,46,67,109,0,5,20,37,18
105,40.72744471,-73.99935188,New York City,31,12,219,84,45,68,109,0,20,20,37,20
106,40.7313055,-73.99935188,New York City,34,23,184,93,43,66,87,0,20,20,36,20
107,40.73516629,-73.99935188,New York City,34,25,208,82,46,75,92,0,17,20,34,20
108,40.73902708,-73.99935188,New York City,35,24,217,84,45,81,98,1,7,20,37,8
109,40.74288787,-73.99935188,New York City,35,25,199,91,45,85,83,1,2,20,40,12
110,40.74674866,-73.99935188,New York City,33,22,181,88,42,73,82,1,4,20,34,13
111,40.75060945,-73.99935188,New York City,27,19,169,65,41,63,101,1,6,20,28,13
112,40.75447024,-73.99935188,New York City,25,12,137,66,41,38,90,1,4,13,24,2
113,40.75833103,-73.99935188,New York City,26,6,72,48,41,33,63,1,3,9,17,5
114,40.76219182,-73.99935188,New York City,24,3,71,44,40,27,38,1,1,7,13,14
115,40.76605261,-73.99935188,New York City,19,2,53,25,36,6,26,0,1,1,5,11
116,40.7699134,-73.99935188,New York City,3,0,29,2,10,6,16,0,0,0,2,2
117,40.77377419,-73.99935188,New York City,0,0,0,0,0,0,1,0,0,0,0,0
118,40.67339365,-73.99350166,New York City,9,2,86,33,37,13,24,1,0,9,11,2
119,40.67725444,-73.99350166,New York City,19,3,84,42,22,26,20,0,0,15,19,1
120,40.68111523,-73.99350166,New York City,26,8,95,46,20,45,21,0,1,20,22,3
121,40.68497602,-73.99350166,New York City,26,9,109,64,22,47,35,0,1,20,22,3
122,40.68883681,-73.99350166,New York City,26,13,138,71,42,86,80,4,0,20,32,1
123,40.6926976,-73.99350166,New York City,25,21,151,71,43,86,93,4,1,20,40,0
124,40.69655839,-73.99350166,New York City,16,20,104,45,39,78,77,1,5,20,33,0
125,40.70041918,-73.99350166,New York City,18,10,75,43,32,31,65,0,1,13,13,2
